iddesa,pop2020
1105081008,3869
1105082001,2496
1105082002,978
1105082003,1396
1105082004,415
1105082006,1127
1105090001,597
1105090002,462
1105090003,532
1105090004,1344
1105090005,2203
1105090006,569
1105090007,408
1105090008,501
1105090009,2591
1105090010,606
1105090011,1871
1105090012,181
1105090013,428
1105090014,2460
1105090015,1601
1105090016,1681
1105090017,838
1105090018,307
1105090019,836
1105090020,1119
1105090021,819
1105090022,579
1105090023,855
1105090024,428
1105090025,2642
1105090026,1125
1105090027,373
1105100001,1152
1105100002,835
1105100003,216
1105100004,302
1105100005,244
1105100006,346
1105100007,495
1105100008,2704
1105100009,683
1105100010,2504
1105100011,1012
1105100012,779
1105100013,727
1105100014,419
1105101001,920
1105101002,1339
1105101003,476
1105101004,451
1105101005,322
1105101006,1380
1105101007,1854
1105101008,216
1105101009,3373
1105101010,383
1105101011,1079
1105101012,460
1105101013,1349
1105110008,1925
1105110018,1056
1105110019,1493
1105110020,1733
1105110023,1328
1105110024,814
1105110025,637
1105110026,1688
1105110027,1279
1105110028,787
1105110029,350
1105110030,579
1105110031,1673
1105110032,742
1105110033,1150
1105110034,793
1105110035,906
1105110036,1026
1105110037,1734
1105110038,3324
1105110039,826
1105110040,664
1105110042,1601
1105110043,711
1105110044,663
1105110045,2681
1105110046,712
1105110047,1234
1105110055,986
1105110056,1159
1105110057,724
1105110058,1905
1105110059,1241
1105110060,1119
1105110062,1614
1105110063,880
1105110064,1159
1105110065,176
1105111001,501
1105111002,1384
1105111003,936
1105111004,762
1105111005,317
1105111006,522
1105111007,542
1105111008,370
1105111009,873
1105111010,330
1105111011,1203
1105111012,524
1105111013,666
1105111014,1253
1105111015,861
1105111016,734
1105111017,1174
1105111018,474
1105111019,855
1105111020,1208
1105112001,1525
1105112002,1555
1105112003,224
1105112004,493
1105112005,1365
1105112006,2752
1105112007,1510
1105112008,455
1105112009,1135
1105112010,1505
1105112011,791
1105112012,849
1105112013,846
1105112014,1154
1105112015,1377
1105120001,1416
1105120002,981
1105120003,1120
1105120004,2773
1105120005,538
1105120006,726
1105120007,868
1105120008,843
1105120009,1583
1105120010,1316
1105120011,1061
1105120012,670
1105120013,457
1105120014,587
1105120015,464
1105120016,829
1105120017,759
1105120018,243
1105120019,446
1105120020,1227
1105120021,791
1105120022,4777
1105120023,93
1105120024,926
1105130042,581
1105130043,269
1105130044,346
1105130045,194
1105130046,152
1105130047,368
1105130048,606
1105130049,762
1105130050,1158
1105130051,510
1105130078,1840
1105130079,812
1105130080,1453
1105130081,521
1105130083,712
1105130084,926
1105130103,2364
1105130104,5155
1105130105,1246
1105130106,1860
1105130107,4103
1105130108,2472
1105130109,2393
1105130111,328
1105130112,323
1105130113,887
1105130114,468
1105130115,904
1105130116,943
1105130117,793
1105130118,1711
1105130119,249
1105130120,279
1105130121,472
1105130122,362
1105131001,1086
1105131002,742
1105131003,287
1105131004,281
1105131005,405
1105131006,396
1105131007,393
1105131008,1347
1105131009,531
1105131010,2104
1105131011,1024
1105131012,414
1105131013,1618
1105131014,441
1105131015,1018
1105131016,509
1105131017,431
1105132001,561
1105132002,621
1105132003,247
1105132004,338
1105132005,957
1105132006,444
1105132007,734
1105132008,493
1105132009,575
1105132010,548
1105132011,225
1105132012,1607
1105132013,286
1105132014,399
1105132015,185
1105132016,808
1105133001,319
1105133002,912
1105133003,641
1105133004,293
1105133005,500
1105133006,612
1105133007,489
1105133008,505
1105133009,299
1105133010,289
1105133011,905
1105133012,1116
1105133013,359
1105133014,271
1105133015,289
1105133016,253
1105133017,182
1105133018,203
1105133019,343
1105133020,263
1105133021,419
1105133022,451
1105133023,304
1105133024,280
1105133025,239
1105134001,734
1105134002,513
1105134003,198
1105134004,495
1105134005,259
1105134006,197
1105134007,257
1105134008,651
1105134009,299
1105134010,400
1105134011,297
1105134012,556
1105134013,780
1105134014,275
1105134015,1193
1105134016,751
1105135001,586
1105135002,281
1105135003,407
1105135004,502
1105135005,731
1105135006,237
1105135007,536
1105135008,482
1105135009,376
1105135010,867
1105135011,835
1105135012,171
1105135013,802
1105140001,564
1105140002,573
1105140003,422
1105140004,351
1105140005,365
1105140006,180
1105140007,270
1105140008,272
1105140009,299
1105140010,505
1105140011,339
1105140012,608
1105140013,301
1105140014,284
1105140015,284
1105140016,222
1105140017,346
1105140018,246
1105140019,582
1105140020,605
1105140021,442
1105140022,291
1105140023,612
1105140024,213
1105140025,311
1105140026,376
1105140027,376
1105140028,225
1105140029,187
1105140030,375
1105140031,221
1105140032,204
1105140033,300
1105140034,312
1105140035,500
1105140036,1158
1105140037,303
1105140038,1740
1105140039,880
1105140040,1018
1105140041,333
1105140042,796
1105140043,735
1105140044,241
1105140045,636
1105150001,939
1105150002,163
1105150003,377
1105150005,595
1105150006,260
1105150008,380
1105150009,1702
1105150010,166
1105150011,163
1105150012,738
1105150013,349
1105150014,527
1105150023,411
1105150024,286
1105150025,299
1105150026,1184
1105150027,1149
1105150028,816
1105150029,715
1105150030,832
1105150031,254
1105150032,465
1105150034,681
1105150035,887
1105150036,710
1105150037,378
1105150038,266
1105150039,355
1105150040,660
1105150041,500
1105150042,648
1105151001,434
1105151002,158
1105151003,386
1105151004,210
1105151005,297
1105151006,302
1105151007,497
1105151008,569
1105151009,144
1105151010,107
1105151011,274
1105160006,387
1105160007,458
1105160008,220
1105160009,520
1105160010,590
1105160011,185
1105160012,280
1105160013,833
1105160014,207
1105160015,498
1105160016,1042
1105160017,305
1105160018,843
1105160019,1328
1105160020,767
1105160021,600
1105160022,918
1105160023,474
1105160024,1737
1105160025,529
1105160026,592
1105160027,431
1105160028,1460
1105160029,1115
1105160030,262
1105160031,536
1105160032,1178
1105160033,1498
1105160034,437
1105160035,1087
1105160036,725
1105160037,840
1105160038,488
1105160039,920
1105160040,640
1105160041,1631
1105160042,855
1105161001,564
1105161002,1824
1105161003,936
1105161004,714
1105161005,880
1105161006,1495
1105161007,2260
1105161008,1076
1105161009,1066
1105161010,1919
1105161011,2121
1105161012,706
1105161013,878
1105170001,1378
1105170002,1761
1105170003,1411
1105170004,400
1105170005,652
1105170006,896
1105170007,1558
1105170008,758
1105170009,1033
1105170010,823
1105170011,1792
1105170012,1826
1105170013,369
1105170014,945
1105170015,1316
1105170016,419
1105170017,940
1105170018,1797
1105170019,503
1105170020,807
1105170021,1552
1105170022,346
1105170023,703
1105170024,725
1105170025,484
1105180003,530
1105180005,568
1105180009,704
1105180010,1087
1105180011,476
1105180012,508
1105180013,522
1105180014,586
1105180015,735
1105180016,1444
1105180017,1416
1105180018,1622
1105180019,1326
1105180023,1102
1105180024,927
1105180025,697
1105180026,2107
1105180027,635
1105180028,1562
1105180030,661
1105180031,875
1105180033,562
1105180034,960
1105181001,1713
1105181002,639
1105181003,1686
1105181004,1592
1105181005,417
1105181006,348
1105181007,537
1105181008,1409
1105181009,1167
1105181010,804
1105181011,997
1105181012,959
1105181013,1816
1105181014,1186
1105181015,1067
1105181016,2371
1105181017,729
1105181018,869
1105181019,359
1105181020,777
1105181021,317
1105181022,868
1105181023,1174
1105181024,663
1105181025,1484
1105181026,826
1106010007,306
1106010008,404
1106010009,332
1106010010,844
1106010011,240
1106010012,262
1106010013,211
1106010014,658
1106010015,474
1106010016,129
1106010017,412
1106010018,237
1106010019,379
1106010020,355
1106010021,237
1106010022,341
1106010023,293
1106010024,1119
1106010030,552
1106010031,239
1106010036,276
1106010037,256
1106010038,857
1106010039,592
1106010040,370
1106010041,1168
1106011001,851
1106011002,472
1106011003,803
1106011004,553
1106011005,263
1106011006,601
1106011007,272
1106011008,489
